1,1,Derecho,,1,Derecho,Derecho,Derecho,Derecho,,,1
2,,Filosofía,,1,Filosofía,Filosofía,Filosofía,Filosofía,,,1
3,,Política,,1,Política,Política,Política,Política,,,1
4,,Educación,,1,Educación,Educación,Educación,Educación,,,1
5,,Política,,1,Política,Política,Política,Política,,,1
6,,Ecología,,1,Ecología,Ecología,Ecología,Ecología,,,1
7,,Género,,1,Género,Género,Género,Género,,,1
8,,Medicina,,1,Medicina,Medicina,Medicina,Medicina,,,1
9,,Literatura,,1,Literatura,Literatura,Literatura,Literatura,,,1
10,,Arte,,1,Arte,Arte,Arte,Arte,,,1
11,,Religiones y Teología,,1,Religiones y Teología,Religiones y Teología,Religiones y Teología,Religiones y Teología,,,1
12,,Ciencias Básicas,,1,Ciencias Básicas,Ciencias Básicas,Ciencias Básicas,Ciencias Básicas,,,1
13,,Ciencias Humanas y Sociales,,1,Ciencias Humanas y Sociales,Ciencias Humanas y Sociales,Ciencias Humanas y Sociales,Ciencias Humanas y Sociales,,,1
14,,Revistas,,1,Revistas,Revistas,Revistas,Revistas,,,1
15,,Ingeniería,,1,Ingeniería,Ingeniería,Ingeniería,Ingeniería,,,1
16,,Derechos Humanos,,1,Derechos Humanos,Derechos Humanos,Derechos Humanos,Derechos Humanos,,,1
17,,Derecho Público,1,0,Derecho Público,Derecho Público,Derecho Público,Derecho Público,,,1
18,,Derecho Administrativo,1,0,Derecho Administrativo,Derecho Administrativo,Derecho Administrativo,Derecho Administrativo,,,1
19,,Derecho Ambiental,1,0,Derecho Ambiental,Derecho Ambiental,Derecho Ambiental,Derecho Ambiental,,,1
20,,Derecho Canónico,1,0,Derecho Canónico,Derecho Canónico,Derecho Canónico,Derecho Canónico,,,1
21,,Derecho Civil,1,0,Derecho Civil,Derecho Civil,Derecho Civil,Derecho Civil,,,1
22,,Derecho Comercial,1,0,Derecho Comercial,Derecho Comercial,Derecho Comercial,Derecho Comercial,,,1
23,,Derecho Constitucional,1,0,Derecho Constitucional,Derecho Constitucional,Derecho Constitucional,Derecho Constitucional,,,1
24,,Derecho Económico,1,0,Derecho Económico,Derecho Económico,Derecho Económico,Derecho Económico,,,1
25,,Derecho Internacional,1,0,Derecho Internacional,Derecho Internacional,Derecho Internacional,Derecho Internacional,,,1
26,,Derecho Laboral,1,0,Derecho Laboral,Derecho Laboral,Derecho Laboral,Derecho Laboral,,,1
27,,Derecho Notarial,1,0,Derecho Notarial,Derecho Notarial,Derecho Notarial,Derecho Notarial,,,1
28,,Derecho Penal,1,0,Derecho Penal,Derecho Penal,Derecho Penal,Derecho Penal,,,1
29,,Derecho Privado,1,0,Derecho Privado,Derecho Privado,Derecho Privado,Derecho Privado,,,1
30,,Derecho Procesal,1,0,Derecho Procesal,Derecho Procesal,Derecho Procesal,Derecho Procesal,,,1
31,,Derecho Romano,1,0,Derecho Romano,Derecho Romano,Derecho Romano,Derecho Romano,,,1
32,,Derecho Tributario,1,0,Derecho Tributario,Derecho Tributario,Derecho Tributario,Derecho Tributario,,,1
33,,Filosofía del Derecho,1,0,Filosofía del Derecho,Filosofía del Derecho,Filosofía del Derecho,Filosofía del Derecho,,,1
34,,Sociología del Derecho,1,0,Sociología del Derecho,Sociología del Derecho,Sociología del Derecho,Sociología del Derecho,,,1
35,,Derechos Humanos,1,0,Derechos Humanos,Derechos Humanos,Derechos Humanos,Derechos Humanos,,,1
36,,Filosofía Crítica,2,0,Filosofía Crítica,Filosofía Crítica,Filosofía Crítica,Filosofía Crítica,,,1
37,,Epistemología,2,0,Epistemología,Epistemología,Epistemología,Epistemología,,,1
38,,Estética,2,0,Estética,Estética,Estética,Estética,,,1
39,,Filosofía Política,2,0,Filosofía Política,Filosofía Política,Filosofía Política,Filosofía Política,,,1
40,,Hermenéutica,2,0,Hermenéutica,Hermenéutica,Hermenéutica,Hermenéutica,,,1
41,,Lógica,2,0,Lógica,Lógica,Lógica,Lógica,,,1
42,,Metafísica,2,0,Metafísica,Metafísica,Metafísica,Metafísica,,,1
43,,Pedagogía,4,0,Pedagogía,Pedagogía,Pedagogía,Pedagogía,,,1
44,,Didáctica,4,0,Didáctica,Didáctica,Didáctica,Didáctica,,,1
45,,Teoría Pedagógica,4,0,Teoría Pedagógica,Teoría Pedagógica,Teoría Pedagógica,Teoría Pedagógica,,,1
46,,Ciencia Política,5,0,Ciencia Política,Ciencia Política,Ciencia Política,Ciencia Política,,,1
47,,Economía Política,5,0,Economía Política,Economía Política,Economía Política,Economía Política,,,1
48,,Violencia,5,0,Violencia,Violencia,Violencia,Violencia,,,1
49,,Relaciones Internacionales,5,0,Relaciones Internacionales,Relaciones Internacionales,Relaciones Internacionales,Relaciones Internacionales,,,1
50,,Antropología - Sociología,14,0,Antropología - Sociología,Antropología - Sociología,Antropología - Sociología,Antropología - Sociología,,,1
51,,Arte – Estética,14,0,Arte – Estética,Arte – Estética,Arte – Estética,Arte – Estética,,,1
52,,Arquitectura - Urbanismo - Diseño,14,0,Arquitectura - Urbanismo - Diseño,Arquitectura - Urbanismo - Diseño,Arquitectura - Urbanismo - Diseño,Arquitectura - Urbanismo - Diseño,,,1
53,,Bioética,3,0,Bioética,Bioética,Bioética,Bioética,,,1
54,,Cuento,9,0,Cuento,Cuento,Cuento,Cuento,,,1
55,,Ensayo,9,0,Ensayo,Ensayo,Ensayo,Ensayo,,,1
56,,Novela,9,0,Novela,Novela,Novela,Novela,,,1
57,,Periodismo,9,0,Periodismo,Periodismo,Periodismo,Periodismo,,,1
58,,Poesía,9,0,Poesía,Poesía,Poesía,Poesía,,,1
59,,Teatro,9,0,Teatro,Teatro,Teatro,Teatro,,,1
60,,Crítica Literaria,9,0,Crítica Literaria,Crítica Literaria,Crítica Literaria,Crítica Literaria,,,1
61,,Teoría Literaria,9,0,Teoría Literaria,Teoría Literaria,Teoría Literaria,Teoría Literaria,,,1
62,,Arquitectura,10,0,Arquitectura,Arquitectura,Arquitectura,Arquitectura,,,1
63,,Artes Plásticas,10,0,Artes Plásticas,Artes Plásticas,Artes Plásticas,Artes Plásticas,,,1
64,,Diseño,10,0,Diseño,Diseño,Diseño,Diseño,,,1
65,,Fotografía,10,0,Fotografía,Fotografía,Fotografía,Fotografía,,,1
66,,Catálogos,10,0,Catálogos,Catálogos,Catálogos,Catálogos,,,1
67,,Cine - Fotografía - Audiovisuales,14,0,Cine - Fotografía - Audiovisuales,Cine - Fotografía - Audiovisuales,Cine - Fotografía - Audiovisuales,Cine - Fotografía - Audiovisuales,,,1
68,,Física,12,0,Física,Física,Física,Física,,,1
69,,Matemáticas,12,0,Matemáticas,Matemáticas,Matemáticas,Matemáticas,,,1
70,,Biología,12,0,Biología,Biología,Biología,Biología,,,1
71,,Salud,8,0,Salud,Salud,Salud,Salud,,,1
72,,Odontología,8,0,Odontología,Odontología,Odontología,Odontología,,,1
73,,Derechos Humanos,5,0,Derechos Humanos,Derechos Humanos,Derechos Humanos,Derechos Humanos,,,1
74,,Naturaleza,6,0,Naturaleza,Naturaleza,Naturaleza,Naturaleza,,,1
75,,Ecosistemas,6,0,Ecosistemas,Ecosistemas,Ecosistemas,Ecosistemas,,,1
76,,Ecología Humana,6,0,Ecología Humana,Ecología Humana,Ecología Humana,Ecología Humana,,,1
77,,Ecología Urbana,6,0,Ecología Urbana,Ecología Urbana,Ecología Urbana,Ecología Urbana,,,1
78,,Estética,10,0,Estética,Estética,Estética,Estética,,,1
79,,Derecho,14,0,Derecho,Derecho,Derecho,Derecho,,,1
80,,Ecología,14,0,Ecología,Ecología,Ecología,Ecología,,,1
81,,Economía - Administración,14,0,Economía - Administración,Economía - Administración,Economía - Administración,Economía - Administración,,,1
82,,Educación,14,0,Educación,Educación,Educación,Educación,,,1
83,,Filosofía - Ética,14,0,Filosofía - Ética,Filosofía - Ética,Filosofía - Ética,Filosofía - Ética,,,1
84,,Filosofía de la ciencia,14,0,Filosofía de la ciencia,Filosofía de la ciencia,Filosofía de la ciencia,Filosofía de la ciencia,,,1
85,,Género,14,0,Género,Género,Género,Género,,,1
86,,Historia - Geografía,14,0,Historia - Geografía,Historia - Geografía,Historia - Geografía,Historia - Geografía,,,1
87,,Danza,10,0,Danza,Danza,Danza,Danza,,,1
88,,Literatura Infantil,9,0,Literatura Infantil,Literatura Infantil,Literatura Infantil,Literatura Infantil,,,1
89,,Música,10,0,Música,Música,Música,Música,,,1
90,,Cine,10,0,Cine,Cine,Cine,Cine,,,1
91,,Judaísmo,11,0,Judaísmo,Judaísmo,Judaísmo,Judaísmo,,,1
92,,Teatro,10,0,Teatro,Teatro,Teatro,Teatro,,,1
93,,Historia,5,0,Historia,Historia,Historia,Historia,,,1
94,,Ética Empresarial,3,0,Ética Empresarial,Ética Empresarial,Ética Empresarial,Ética Empresarial,,,1
95,,Mitologías,11,0,Mitologías,Mitologías,Mitologías,Mitologías,,,1
96,,Teología,11,0,Teología,Teología,Teología,Teología,,,1
97,,Teología Cristiana,11,0,Teología Cristiana,Teología Cristiana,Teología Cristiana,Teología Cristiana,,,1
98,,Mística,11,0,Mística,Mística,Mística,Mística,,,1
99,,Historia de la Filosofía,2,0,Historia de la Filosofía,Historia de la Filosofía,Historia de la Filosofía,Historia de la Filosofía,,,1
100,,Filosofía de la Religión,2,0,Filosofía de la Religión,Filosofía de la Religión,Filosofía de la Religión,Filosofía de la Religión,,,1
101,,Historia de las Religiones,11,0,Historia de las Religiones,Historia de las Religiones,Historia de las Religiones,Historia de las Religiones,,,1
102,,Historia del Arte,10,0,Historia del Arte,Historia del Arte,Historia del Arte,Historia del Arte,,,1
103,,Teodicea,2,0,Teodicea,Teodicea,Teodicea,Teodicea,,,1
104,,Psicología Cognitiva,4,0,Psicología Cognitiva,Psicología Cognitiva,Psicología Cognitiva,Psicología Cognitiva,,,1
105,,Biblioteca Escolar,4,0,Biblioteca Escolar,Biblioteca Escolar,Biblioteca Escolar,Biblioteca Escolar,,,1
106,,Química,12,0,Química,Química,Química,Química,,,1
107,,Psicología,4,0,Psicología,Psicología,Psicología,Psicología,,,1
